token,sentiment,score
2-faces,negative,-1
abnormal,negative,-1
abolish,negative,-1
abominable,negative,-1
abominably,negative,-1
abominate,negative,-1
abomination,negative,-1
abort,negative,-1
aborted,negative,-1
aborts,negative,-1
abound,positive,1
abounds,positive,1
abrade,negative,-1
abrasive,negative,-1
abrupt,negative,-1
abruptly,negative,-1
abscond,negative,-1
absence,negative,-1
absent-minded,negative,-1
absentee,negative,-1
absurd,negative,-1
absurdity,negative,-1
absurdly,negative,-1
absurdness,negative,-1
abundance,positive,1
abundant,positive,1
abuse,negative,-1
abused,negative,-1
abuses,negative,-1
abusive,negative,-1
abysmal,negative,-1
abysmally,negative,-1
abyss,negative,-1
accessable,positive,1
accessible,positive,1
accidental,negative,-1
acclaim,positive,1
acclaimed,positive,1
acclamation,positive,1
accolade,positive,1
accolades,positive,1
accommodative,positive,1
accomodative,positive,1
accomplish,positive,1
accomplished,positive,1
accomplishment,positive,1
accomplishments,positive,1
accost,negative,-1
accurate,positive,1
accurately,positive,1
accursed,negative,-1
accusation,negative,-1
accusations,negative,-1
accuse,negative,-1
accuses,negative,-1
accusing,negative,-1
accusingly,negative,-1
acerbate,negative,-1
acerbic,negative,-1
acerbically,negative,-1
ache,negative,-1
ached,negative,-1
aches,negative,-1
achey,negative,-1
achievable,positive,1
achievement,positive,1
achievements,positive,1
achievible,positive,1
aching,negative,-1
acrid,negative,-1
acridly,negative,-1
acridness,negative,-1
acrimonious,negative,-1
acrimoniously,negative,-1
acrimony,negative,-1
acumen,positive,1
adamant,negative,-1
adamantly,negative,-1
adaptable,positive,1
adaptive,positive,1
addict,negative,-1
addicted,negative,-1
addicting,negative,-1
addicts,negative,-1
adequate,positive,1
adjustable,positive,1
admirable,positive,1
admirably,positive,1
admiration,positive,1
admire,positive,1
admirer,positive,1
admiring,positive,1
admiringly,positive,1
admonish,negative,-1
admonisher,negative,-1
admonishingly,negative,-1
admonishment,negative,-1
admonition,negative,-1
adorable,positive,1
adore,positive,1
adored,positive,1
adorer,positive,1
adoring,positive,1
adoringly,positive,1
adroit,positive,1
adroitly,positive,1
adulate,positive,1
adulation,positive,1
adulatory,positive,1
adulterate,negative,-1
adulterated,negative,-1
adulteration,negative,-1
adulterier,negative,-1
advanced,positive,1
advantage,positive,1
advantageous,positive,1
advantageously,positive,1
advantages,positive,1
adventuresome,positive,1
adventurous,positive,1
adversarial,negative,-1
adversary,negative,-1
adverse,negative,-1
adversity,negative,-1
advocate,positive,1
advocated,positive,1
advocates,positive,1
affability,positive,1
affable,positive,1
affably,positive,1
affectation,positive,1
affection,positive,1
affectionate,positive,1
affinity,positive,1
affirm,positive,1
affirmation,positive,1
affirmative,positive,1
afflict,negative,-1
affliction,negative,-1
afflictive,negative,-1
affluence,positive,1
affluent,positive,1
afford,positive,1
affordable,positive,1
affordably,positive,1
affront,negative,-1
afordable,positive,1
afraid,negative,-1
aggravate,negative,-1
aggravating,negative,-1
aggravation,negative,-1
aggression,negative,-1
aggressive,negative,-1
aggressiveness,negative,-1
aggressor,negative,-1
aggrieve,negative,-1
aggrieved,negative,-1
aggrivation,negative,-1
aghast,negative,-1
agile,positive,1
agilely,positive,1
agility,positive,1
agonies,negative,-1
agonize,negative,-1
agonizing,negative,-1
agonizingly,negative,-1
agony,negative,-1
agreeable,positive,1
agreeableness,positive,1
agreeably,positive,1
aground,negative,-1
ail,negative,-1
ailing,negative,-1
ailment,negative,-1
aimless,negative,-1
alarm,negative,-1
alarmed,negative,-1
alarming,negative,-1
alarmingly,negative,-1
alienate,negative,-1
alienated,negative,-1
alienation,negative,-1
all-around,positive,1
allegation,negative,-1
allegations,negative,-1
allege,negative,-1
allergic,negative,-1
allergies,negative,-1
allergy,negative,-1
alluring,positive,1
alluringly,positive,1
aloof,negative,-1
altercation,negative,-1
altruistic,positive,1
altruistically,positive,1
amaze,positive,1
amazed,positive,1
amazement,positive,1
amazes,positive,1
amazing,positive,1
amazingly,positive,1
ambiguity,negative,-1
ambiguous,negative,-1
ambitious,positive,1
ambitiously,positive,1
ambivalence,negative,-1
ambivalent,negative,-1
ambush,negative,-1
ameliorate,positive,1
amenable,positive,1
amenity,positive,1
amiability,positive,1
amiabily,positive,1
amiable,positive,1
