token,score
absolutely,0.25
amazingly,0.25
awfully,0.25
completely,0.25
considerable,0.25
considerably,0.25
decidedly,0.25
deeply,0.25
effing,0.25
enormous,0.25
enormously,0.25
entirely,0.25
especially,0.25
exceptional,0.25
exceptionally,0.25
extreme,0.25
extremely,0.25
fabulously,0.25
flipping,0.25
flippin,0.25
frackin,0.25
fracking,0.25
fricking,0.25
frickin,0.25
frigging,0.25
friggin,0.25
fully,0.25
fuckin,0.25
fucking,0.25
fuggin,0.25
fugging,0.25
greatly,0.25
hella,0.25
highly,0.25
hugely,0.25
incredible,0.25
incredibly,0.25
intensely,0.25
major,0.25
majorly,0.25
more,0.25
most,0.25
particularly,0.25
purely,0.25
quite,0.25
really,0.25
remarkably,0.25
so,0.25
substantially,0.25
thoroughly,0.25
total,0.25
totally,0.25
tremendous,0.25
tremendously,0.25
uber,0.25
unbelievably,0.25
unusually,0.25
utter,0.25
utterly,0.25
very,0.25
a bit,-0.25
a little,-0.25
almost,-0.25
barely,-0.25
hardly,-0.25
just enough,-0.25
kind of,-0.25
kinda,-0.25
kind of,-0.25
kindof,-0.25
kind-of,-0.25
less,-0.25
little,-0.25
marginal,-0.25
marginally,-0.25
ocassional,-0.25
occasionally,-0.25
partly,-0.25
scarce,-0.25
scarcely,-0.25
slight,-0.25
slightly,-0.25
somewhat,-0.25
sort of,-0.25
sorta,-0.25
sortof,-0.25
sort-of,-0.25
